indice,area,ciudad,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p3a,s101p3b,s101p4a,s101p4b,s101p4b1,s101p5a,s101p5b,s101p5d,s101p5e,s101p5f,s101p5g,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s101p13,s101p141,s101p142,s101p143,s101p144,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183
2670,rural,80352,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0.025974,0,0.04,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0.5,0,1,1,1,0,0,1,0,0,1,0.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.75,0,0
2671,rural,80352,1,1,1,1,1,1,0.833333,0.833333,0.833333,0,0,0,0.066667,0.066667,0.077922,0,0.12,0.833333,0.833333,0.833333,0.833333,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0.25,1,1,1,1,0,0,0,0,0,0.75,0,0.75,0.5
2672,rural,80352,0,1,1,1,1,1,0.5,0.833333,0.833333,0.833333,0,0,0,0,0.038961,0,0.06,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0.5,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0.75,1,1,1,1,0,0.5,0,0,0,0.75,0,0.5,0.5
2673,rural,80352,1,1,1,1,1,1,0.833333,0.833333,0.833333,0,0,0,0,0,0.038961,0,0.06,0.833333,0.833333,0.833333,0.833333,0,0,1,0,0,1,1,0.5,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0.25,1,1,1,1,0.5,0.5,1,1,1,0,0.5,0.5,0.5
2674,rural,80352,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0.038961,0,0.06,0.833333,0.833333,1,0.833333,0.833333,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.25
2675,rural,80352,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0.033333,0.033333,0.064935,0,0.1,0.833333,0.833333,0.833333,0,0.833333,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0.75,1,1,1,1,0.25,0.25,0,0.25,0.25,0.75,0,0.25,0.25
2676,rural,80352,1,1,1,1,1,1,0.833333,0.833333,0.833333,0,0,0,0.033333,0.033333,0.025974,0,0.04,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0.25,1,1,1,1,1,0,0,0,0,1,1,0,0
2677,rural,80352,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0.033333,0.033333,0.025974,0,0.04,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0
2678,rural,80352,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0.051948,0,0.08,0,0.833333,0.833333,0,0.833333,0,0,0,0,0.5,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0.75,1,1,1,1,0.25,0.5,0,0.25,0.25,0.75,0,0.5,0.5
2679,rural,80352,1,1,1,1,1,1,1,1,1,0,0,0,0.033333,0.033333,0.012987,0,0.02,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0.75,1,1,1,1,0,0,0,0,0,1,1,0,0
2680,rural,80352,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0,0,0,0,0.012987,0.014286,0,0,0.833333,0.833333,0,0.833333,0,1,1,0.5,0.5,1,1,1,1,0,0,0.5,1,0,1,1,1,0,0,1,0,1,0.75,1,1,1,1,0.5,0.25,0.25,0.5,0.5,0.5,0,0.5,0.5
2681,rural,80352,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0.064935,0,0.1,0.833333,0.833333,0.833333,0.833333,0,0.833333,0,0,0,0.5,1,1,1,1,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
2682,rural,80357,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.051948,0,0.08,0,0.833333,1,0.833333,0,0,0,0,0,0.5,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2683,rural,80357,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.066667,0.066667,0.038961,0,0.06,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2684,rural,80357,0,1,1,1,1,1,1,0.833333,0.833333,0,0,0,0.033333,0.033333,0.051948,0,0.08,0,0,1,0.833333,0,0,1,1,0,0,0,1,1,1,0,0,0.5,1,0,1,1,0,1,0,1,1,0,0.75,1,1,1,1,0,0.5,0,0,0,0,0,0,0
2685,rural,80357,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0.051948,0,0.08,0,0.833333,0.166667,0.833333,0,0,0,0,0,0.5,0,1,1,1,0,0,0.5,0,0,1,1,1,0,1,1,1,0,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2686,rural,80357,0,1,1,1,1,1,0.166667,1,1,1,0,0,0,0,0.012987,0,0.02,0,0.833333,1,0.833333,0,0,1,0,1,0.5,0,1,1,1,0,0,0.5,1,1,0.5,1,0,0,0,0,0,0,0,1,1,1,1,0,0.25,0.25,0.25,0,0,0,0.25,0.25
2687,rural,80357,1,1,1,1,1,1,0.833333,0.833333,0.833333,0,0.833333,0.833333,0.066667,0.066667,0.155844,0,0.24,0.833333,0.833333,0.166667,0.833333,0.833333,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0.25,0.25,0.25,0,0,0.75,0.75,0.25,0.25
2688,rural,80357,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0.077922,0,0.12,0,0.833333,0.833333,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0.5,1,1,1,1,0,0,0,0,0,0,1,0,0
2689,rural,80357,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0.025974,0,0.04,0,0.833333,0.833333,0.833333,0,0,1,0,0.5,0.5,0.5,1,0.5,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2690,rural,80357,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0.033333,0.033333,0.090909,0.028571,0.06,0.833333,0.833333,0.833333,0.833333,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0.25,1,1,1,1,0,0.25,0,0,0,0.5,0.25,0.75,0.75
2691,rural,80357,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0,0,0.1,0.1,0.025974,0,0.04,0,0,1,0,0.833333,0,1,0,0,0,0,1,1,1,0,0,0.5,0,0,1,1,0,0,0,1,1,0,0.25,1,1,1,1,0,0.5,0,0.75,0.75,0,0,1,0.25
2692,rural,80357,0,1,1,1,1,1,0.166667,1,1,0,0.833333,1,0.033333,0.033333,0.077922,0,0.12,0,0,0.833333,0,0.833333,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0.25,1,1,1,1,0,0.25,0.25,0,0,0,0.25,0,0
2693,urbana,80450,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0,0.05,0.05,0.116883,0,0.18,0.833333,0.833333,1,0.833333,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.75,1,1,1,0,0,0.25,0,0,0.25,1,0,0,0
2694,urbana,80450,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.133333,0.133333,0.090909,0,0.14,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.25,1,1,1,1,0,0,0,0,0,0.5,1,0,0
2695,urbana,80450,1,0,0,0,1,1,0.833333,0.5,0.5,0.5,0.833333,0.833333,0.066667,0.066667,0.064935,0,0.1,0.833333,0,0.833333,0.833333,0.833333,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0.25,1,1,1,1,0.25,0.5,0.5,0.25,0,1,0.5,0.25,0.25
2696,urbana,80450,0,0,0,0,0,1,0.166667,0.5,0.5,0.5,0.5,0.833333,0.066667,0.066667,0.25974,0,0.4,0.833333,0.833333,1,0.833333,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0.5,0.25,0,0,0,0.5,0.25,0
2697,urbana,80450,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.166667,0.166667,0.103896,0,0.16,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0.25,1,1,1,1,0,0,0,0,0,1,1,0,0
2698,urbana,80450,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.064935,0,0.1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0.25,1,1,1,1,1,0.75,0,0,0,1,1,0.5,0.5
2699,urbana,80450,1,0,0,1,1,1,0.833333,0.5,0.5,0,0,0,0.033333,0.033333,0.051948,0.028571,0.04,0.5,0,1,0.833333,0.833333,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0.75,1,1,0,1,0,0.5,0,0.25,0,0.25,0.5,0.5,0
2700,urbana,80450,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0.051948,0.014286,0.06,0,0.833333,0.833333,0.833333,0.833333,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0.5,1,1,1,1,0,0,0,0,0,0,0.75,0.5,0.25
2701,urbana,80450,1,1,0,1,1,1,0.833333,0.833333,0.333333,0.833333,0.833333,0.833333,0.1,0.1,0.064935,0,0.1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0.75,1,1,1,1,0.25,0,0.25,0.25,0.25,0.75,0.75,0.25,0.25
2702,urbana,80450,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0.077922,0,0.12,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0.5,1,1,1,1,0,0,0,0,0.25,1,0.75,0.25,0.25
2703,urbana,80450,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0.064935,0,0.1,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0.25,1,1,0,1,0,0,0,0,0,1,1,0,0
2704,urbana,80450,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0,0.033333,0.033333,0.155844,0,0.24,0,0.833333,0.166667,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.75
2705,urbana,80450,1,1,0,1,1,1,0,1,0.5,1,1,1,0.133333,0.066667,0.103896,0,0.16,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0.5,1,1,1,1,0,0,0,0,0,0,0,1,0.5
2706,urbana,80450,1,0,0,1,1,1,0.833333,0.5,0.5,0.833333,0.833333,0.833333,0.033333,0.033333,0.103896,0,0.16,0,0,1,0.833333,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.25,0.5,1,1
2707,urbana,80450,1,0,0,1,0,1,0.833333,0.5,0.5,0.833333,0.5,0,0.2,0.2,0.103896,0,0.12,0.833333,0,0.833333,0.833333,0.833333,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0.25,1,1,1,1,0.75,1,0.75,0.75,1,0.25,0.25,0.75,0.75
2708,urbana,80450,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0.016667,0.016667,0.090909,0,0.14,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0.25,0,0,0,0.5,0.5,0.5,0.5
2709,urbana,80450,1,0,0,0,0,1,0.833333,0.5,0.5,0.5,0.5,0,0.116667,0.116667,0.12987,0,0.2,0.5,0.5,0.166667,0.5,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0.25,1,1,1,1,0.5,0.5,0.75,0.5,0.5,0.25,0.5,0.5,0.5
2710,urbana,80450,1,1,0,1,1,1,0.833333,0,0.5,0,0,0,0.1,0.1,0.116883,0,0.18,0.833333,0.833333,0.833333,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0.5,1,1,1,1,0,0,0,0,0,0.75,0,1,0.5
2711,urbana,80450,0,0,0,0,0,0,0.166667,1,1,1,1,1,0.033333,0.033333,0.116883,0.042857,0.12,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0.5,1,1,1,1,0,0,0,0,0,0.5,0,1,0.5
2712,urbana,80450,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0.133333,0.066667,0.077922,0,0.12,0.833333,0.833333,0.833333,0.833333,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0.5,1,1,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0.5
2713,urbana,80450,0,0,1,1,0,1,0.166667,0.5,0.833333,0.833333,0.5,0,0.033333,0.033333,0.064935,0,0.1,0,0.833333,0.166667,0,0.833333,0,1,0,0,0.5,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0.75,1,1,1,1,0.75,0.75,0.5,0.5,0.75,0.25,0.25,0.75,0.5
2714,urbana,80450,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0.066667,0.066667,0.051948,0,0.08,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0.5,1,1,1,1,0,0,0,0,0,0.5,1,0,0
2715,urbana,80450,1,0,0,1,1,1,0.833333,0.5,0.5,0,0,0,0.033333,0.033333,0.077922,0,0.12,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,0.5,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0.25,1,1,1,1,0,0,0,0,0,0.5,1,0,0.5
2716,urbana,80450,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0.166667,0.166667,0.12987,0,0.2,0.833333,0.833333,0.833333,0.833333,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0,0,0,0.5,0,0.5,0,0,0.5
2717,rural,80450,1,1,1,1,1,1,0.833333,1,1,0.833333,0,0,0.066667,0.066667,0.038961,0,0.06,1,1,0,1,0,0,1,1,0.5,0.5,1,0.5,1,1,0,0,1,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2718,rural,80450,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0.833333,0.833333,0.133333,0.066667,0.077922,0,0.12,0.833333,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0.25,1,1,1,0,0,0,0,0.25,0.25,0.5,0.5,0,0.75
2719,rural,80450,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.025974,0,0,0,0,0,0,0,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.75,0.75,0.5,0.75,0.25,0.5,0.25,0.75
2720,rural,80450,1,1,0,1,1,1,1,1,0.5,0,0,0,0.033333,0.016667,0.051948,0,0,0,1,1,0,0,0,1,1,0,0.5,0.5,1,0.5,1,0,0,0.5,0,0,1,1,1,1,1,1,1,0,0.5,1,1,1,1,0.25,0.5,0.5,0.5,0.5,0.75,0,0,0
2721,rural,80450,1,1,1,1,1,1,1,1,1,0,0,0,0.016667,0.016667,0.025974,0.014286,0.02,1,0,1,1,0,0,0,1,0,0.5,0.5,0,0.5,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.25,0.25,0.5,0.25,0.25,0.75,0,0,0
2722,rural,80450,1,1,1,1,1,1,1,1,1,1,0,0,0.166667,0.166667,0.051948,0,0.08,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2723,rural,80450,0,1,1,1,1,1,0.166667,1,1,1,1,0,0.1,0.1,0.025974,0,0,0,0,1,1,0,0,1,1,1,0.5,0.5,0.5,0.5,1,0,0,1,1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25
2724,rural,80450,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0.025974,0.028571,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2725,rural,80450,0,1,1,1,1,1,0.166667,1,1,1,1,0,0.033333,0.033333,0.116883,0.042857,0.06,1,1,0.166667,1,0,0,0,0,1,0.5,1,1,0.5,0.5,0,0,1,0,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.75,0.75
2726,rural,80450,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.064935,0,0.1,1,0,0,1,0,0,1,0.5,1,0.5,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2727,rural,80450,1,1,1,1,1,1,1,1,1,0,0,0,0.016667,0.016667,0.025974,0,0.04,1,0,1,1,0,0,0,1,0,0.5,0.5,1,0.5,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.25,0.25,0.5,0.25,0.5,0.75,0.5,0.5,0.25
2728,rural,80452,0,1,1,1,1,1,0.166667,1,1,1,1,0,0.033333,0.033333,0.077922,0.057143,0.04,0,0.833333,0.166667,0,0,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,0,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.75,0.5,0.5,0.75,0.25,0.25,0.5,0.5
2729,rural,80452,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0,0,0.033333,0,0.038961,0.042857,0,0.833333,0.833333,0.833333,0,0,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2730,rural,80452,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0.038961,0.014286,0.04,0,0,0,0,0,0,1,1,0.5,0.5,0.5,1,0.5,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0.5,1,1,1,1,0,0,0,0,0,0.5,0,1,0.5
2731,rural,80452,1,1,1,1,1,1,0,1,1,1,0,0,0.033333,0.033333,0.064935,0,0.1,1,1,0,1,0,0,1,1,1,0.5,0.5,0.5,0.5,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2732,rural,80452,0,1,1,1,1,1,0.166667,1,1,1,1,0,0,0,0.012987,0,0.02,0,0,0.166667,1,0,0,1,0,0.5,0.5,0.5,0.5,1,1,0,0,1,1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.25,0.75,0.5,0.5,0.5
2733,rural,80452,0,1,1,1,1,1,0.166667,1,1,1,1,1,0.033333,0.033333,0.038961,0.042857,0,1,1,1,0,1,0,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0
2734,rural,80452,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0,0,0.033333,0,0.077922,0,0.12,0.833333,0.833333,0.833333,0.833333,0,0,0,0,1,0.5,1,1,0.5,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0,0,0,0,0,0.5,0.5,0.5,0.5
2735,rural,80452,0,1,1,1,1,1,0.166667,1,1,0,0,0,0.016667,0.016667,0.025974,0,0.04,0.666667,0,0,0.666667,0.666667,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0,0,0,0,0,0.75,0,0,0
2736,rural,80452,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.038961,0,0,0,0,1,1,1,0,1,0,0,0.5,0.5,1,1,0.5,0,0,1,1,0,1,1,1,0,1,1,1,1,0.5,1,1,1,1,0.75,0.5,0.75,0.75,0.5,0.25,0.25,0.75,0.75
2737,rural,80452,0,1,1,1,1,1,0.166667,1,1,0,0,0,0.033333,0.033333,0.064935,0.028571,0.06,0.833333,0,0.833333,0.833333,1,0,0,0,0,0.5,0.5,1,0.5,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.25,0,0,0,0.5,1,0.25,1
2738,rural,80452,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0.038961,0.014286,0.04,0,1,1,1,1,0,0,1,0,0,0.5,0.5,1,0.5,0,0,1,1,0,0,1,1,0,1,0,1,1,0.75,1,1,1,1,0,0,0.25,0.25,0,0.25,0.25,0.5,0.75
2739,rural,80452,0,0,0,0,0,1,0.166667,1,1,1,1,1,0,0,0.025974,0,0.02,0,0.833333,0.166667,0,0,0,1,1,0.5,0.5,0.5,0.5,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.75,0.75,0.5,0.25,0.5,0.75,0.75
2740,rural,80452,1,1,1,1,1,1,1,1,1,1,0,0,0.033333,0.033333,0.051948,0,0.08,1,0,1,1,0,0,1,1,1,0.5,0.5,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2741,rural,80452,0,0,0,0,1,1,1,1,1,0.666667,0,0,0,0,0.025974,0,0.04,0,0,0.833333,0,0.833333,0,0,1,0.5,0.5,0.5,0.5,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0.75,1,1,1,1,1,1,0.75,1,1,0.5,0,0.5,0.25
2742,rural,80452,0,1,0,1,0,1,0.166667,1,0.5,1,0.5,0,0.033333,0.033333,0.025974,0,0.04,1,1,1,1,1,0,1,0,0.5,0.5,0.5,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.5
2743,rural,80452,1,1,1,1,1,1,1,1,1,1,1,1,0.016667,0.016667,0.012987,0,0.02,1,0,0,1,0,0,0,1,0,0.5,0.5,0.5,1,1,0,0,1,0.5,0,0,1,1,1,1,0,1,0,0.5,1,1,1,1,0.25,0.5,0.25,0.5,0.5,0.75,0.75,0.5,0.25
2744,rural,80452,1,1,1,1,1,1,1,1,1,1,1,1,0.016667,0.016667,0.038961,0.014286,0.04,1,0,1,1,0,0,0,0,0,0.5,0.5,1,0.5,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.25,0.25
2745,rural,80452,0,1,1,1,1,1,0.166667,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5
2746,rural,80452,1,1,1,1,1,1,1,1,1,1,1,1,0.033333,0.033333,0.077922,0,0.12,1,0,1,1,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,0,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.75,0.5
2747,rural,80452,1,1,1,1,1,1,1,1,1,0,0,0,0.016667,0.016667,0.012987,0,0.02,1,0,0,1,0,0,1,0,1,0.5,0.5,1,0.5,1,0,0,0.5,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.25,0,0.25,0.5,0,0.75,0.5,0.75,1
2748,rural,80452,0,0,0,0,1,1,1,1,1,1,0,0,0.033333,0.033333,0.064935,0,0.1,1,0,0,1,0,0,1,1,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2749,urbana,80550,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.066667,0.066667,0.051948,0,0.08,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0.5,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0.75,0,0,1,1,0,0.5,0.5,1,0.25,0.5,0,0.5,0.5
2750,urbana,80550,1,0,1,1,1,1,0.833333,0.5,0.833333,0,0,0,0.033333,0.033333,0.051948,0,0.08,0.666667,0.833333,0.5,0.833333,0,0,0,0,0,0.5,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.5,1,1,1,1,0,0.5,0.75,0.5,0.5,0.25,0,0,0.75
